Category,Law? 0/1,State,Subcategory,Year
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,0,Hawaii,Stalking,2001
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,0,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,1,Hawaii,Restraining order,2002
Domestic violence,0,Hawaii,Stalking,2002
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,0,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,1,Hawaii,Restraining order,2003
Domestic violence,0,Hawaii,Stalking,2003
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,0,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,1,Hawaii,Restraining order,2004
Domestic violence,0,Hawaii,Stalking,2004
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,0,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,1,Hawaii,Restraining order,2005
Domestic violence,0,Hawaii,Stalking,2005
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,0,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,1,Hawaii,Restraining order,2006
Domestic violence,0,Hawaii,Stalking,2006
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,0,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,1,Hawaii,Restraining order,2007
Domestic violence,0,Hawaii,Stalking,2015
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,0,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Restraining order,2016
Domestic violence,1,Hawaii,Stalking,2016
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,0,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Restraining order,2017
Domestic violence,1,Hawaii,Stalking,2017
Gun trafficking,0,Hawaii,Crime gun identification,1991
Gun trafficking,0,Hawaii,Personalized gun technology,1991
Gun trafficking,0,Hawaii,Crime gun identification,1992
Gun trafficking,0,Hawaii,Personalized gun technology,1992
Gun trafficking,0,Hawaii,Crime gun identification,1993
Gun trafficking,0,Hawaii,Personalized gun technology,1993
Gun trafficking,0,Hawaii,Crime gun identification,1994
Gun trafficking,0,Hawaii,Personalized gun technology,1994
Gun trafficking,0,Hawaii,Crime gun identification,1995
Gun trafficking,0,Hawaii,Personalized gun technology,1995
Gun trafficking,0,Hawaii,Crime gun identification,1996
Gun trafficking,0,Hawaii,Personalized gun technology,1996
Gun trafficking,0,Hawaii,Crime gun identification,1997
Gun trafficking,0,Hawaii,Personalized gun technology,1997
Gun trafficking,0,Hawaii,Crime gun identification,1998
Gun trafficking,0,Hawaii,Personalized gun technology,1998
Gun trafficking,0,Hawaii,Crime gun identification,1999
Gun trafficking,0,Hawaii,Personalized gun technology,1999
Gun trafficking,0,Hawaii,Crime gun identification,2000
Gun trafficking,0,Hawaii,Personalized gun technology,2000
Gun trafficking,0,Hawaii,Crime gun identification,2001
Gun trafficking,0,Hawaii,Personalized gun technology,2001
Gun trafficking,0,Hawaii,Crime gun identification,2002
Gun trafficking,0,Hawaii,Personalized gun technology,2002
Gun trafficking,0,Hawaii,Crime gun identification,2003
Gun trafficking,0,Hawaii,Personalized gun technology,2003
Gun trafficking,0,Hawaii,Crime gun identification,2004
Gun trafficking,0,Hawaii,Personalized gun technology,2004
Gun trafficking,0,Hawaii,Crime gun identification,2005
Concealed carry permitting,0,Hawaii,Permitting,1993
Concealed carry permitting,1,Hawaii,Permitting,1993
Concealed carry permitting,1,Hawaii,Permitting,1993
Concealed carry permitting,0,Hawaii,Permitting,1993
Concealed carry permitting,0,Hawaii,Background checks,1994
Concealed carry permitting,0,Hawaii,Background checks,1994
Concealed carry permitting,0,Hawaii,Background checks,1994
Concealed carry permitting,0,Hawaii,Permitting,1994
Concealed carry permitting,1,Hawaii,Permitting,1994
Concealed carry permitting,1,Hawaii,Permitting,1994
Concealed carry permitting,1,Hawaii,Permitting,1994
Concealed carry permitting,0,Hawaii,Background checks,1995
Concealed carry permitting,0,Hawaii,Background checks,1995
Concealed carry permitting,0,Hawaii,Background checks,1995
Concealed carry permitting,0,Hawaii,Permitting,1995
Concealed carry permitting,1,Hawaii,Permitting,1995
Concealed carry permitting,1,Hawaii,Permitting,1995
Concealed carry permitting,1,Hawaii,Permitting,1995
Concealed carry permitting,0,Hawaii,Background checks,1996
Concealed carry permitting,0,Hawaii,Background checks,1996
Concealed carry permitting,0,Hawaii,Background checks,1996
Concealed carry permitting,0,Hawaii,Permitting,1996
Concealed carry permitting,1,Hawaii,Permitting,1996
Concealed carry permitting,1,Hawaii,Permitting,1996
Concealed carry permitting,1,Hawaii,Permitting,1996
Concealed carry permitting,0,Hawaii,Background checks,1997
Concealed carry permitting,0,Hawaii,Background checks,1997
Concealed carry permitting,0,Hawaii,Background checks,1997
Concealed carry permitting,0,Hawaii,Permitting,1997
Concealed carry permitting,1,Hawaii,Permitting,1997
Concealed carry permitting,1,Hawaii,Permitting,1997
Concealed carry permitting,1,Hawaii,Permitting,1997
Concealed carry permitting,0,Hawaii,Background checks,1998
Concealed carry permitting,0,Hawaii,Background checks,1998
Concealed carry permitting,0,Hawaii,Background checks,1998
Concealed carry permitting,0,Hawaii,Permitting,1998
Concealed carry permitting,1,Hawaii,Permitting,1998
Concealed carry permitting,1,Hawaii,Permitting,1998
Concealed carry permitting,1,Hawaii,Permitting,1998
