Category,Law? 0/1,State,Subcategory,Year
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Stalking,2008
Concealed carry permitting,1,Alaska,Permitting,1993
Concealed carry permitting,1,Alaska,Permitting,1993
Concealed carry permitting,1,Alaska,Permitting,1993
Concealed carry permitting,1,Alaska,Permitting,1993
Concealed carry permitting,1,Alaska,Background checks,1994
Concealed carry permitting,0,Alaska,Background checks,1994
Concealed carry permitting,0,Alaska,Background checks,1994
Concealed carry permitting,1,Alaska,Permitting,1994
Concealed carry permitting,0,Alaska,Permitting,1994
Concealed carry permitting,1,Alaska,Permitting,1994
Concealed carry permitting,0,Alaska,Permitting,1994
Concealed carry permitting,1,Alaska,Background checks,1995
Concealed carry permitting,0,Alaska,Background checks,1995
Concealed carry permitting,0,Alaska,Background checks,1995
Concealed carry permitting,1,Alaska,Permitting,1995
Concealed carry permitting,0,Alaska,Permitting,1995
Concealed carry permitting,1,Alaska,Permitting,1995
Concealed carry permitting,0,Alaska,Permitting,1995
Concealed carry permitting,1,Alaska,Background checks,1996
Concealed carry permitting,0,Alaska,Background checks,1996
Concealed carry permitting,0,Alaska,Background checks,1996
Concealed carry permitting,1,Alaska,Permitting,1996
Concealed carry permitting,0,Alaska,Permitting,1996
Concealed carry permitting,1,Alaska,Permitting,1996
Concealed carry permitting,0,Alaska,Permitting,1996
Concealed carry permitting,1,Alaska,Background checks,1997
Concealed carry permitting,0,Alaska,Background checks,1997
Concealed carry permitting,0,Alaska,Background checks,1997
Concealed carry permitting,1,Alaska,Permitting,1997
Concealed carry permitting,0,Alaska,Permitting,1997
Concealed carry permitting,1,Alaska,Permitting,1997
Concealed carry permitting,0,Alaska,Permitting,1997
Concealed carry permitting,1,Alaska,Background checks,1998
Concealed carry permitting,0,Alaska,Background checks,1998
Concealed carry permitting,0,Alaska,Background checks,1998
Concealed carry permitting,1,Alaska,Permitting,1998
Concealed carry permitting,0,Alaska,Permitting,1998
Concealed carry permitting,1,Alaska,Permitting,1998
Concealed carry permitting,0,Alaska,Permitting,1998
Concealed carry permitting,1,Alaska,Background checks,1999
Concealed carry permitting,0,Alaska,Background checks,1999
Concealed carry permitting,0,Alaska,Background checks,1999
Concealed carry permitting,1,Alaska,Permitting,1999
Concealed carry permitting,0,Alaska,Permitting,1999
Concealed carry permitting,1,Alaska,Permitting,1999
Concealed carry permitting,0,Alaska,Permitting,1999
Concealed carry permitting,1,Alaska,Background checks,2000
Concealed carry permitting,0,Alaska,Background checks,2000
Concealed carry permitting,0,Alaska,Background checks,2000
Concealed carry permitting,1,Alaska,Permitting,2000
Concealed carry permitting,0,Alaska,Permitting,2000
Concealed carry permitting,1,Alaska,Permitting,2000
